macho_id,original,predicted,trust
1.3691.32,Cepheid,Cepheid,1
1.3441.45,"1.3441.45          Cepheid
1.3441.45    None Variable
Name: class, dtype: object",Cepheid,1
1.3685.41,Cepheid,Cepheid,1
1.4661.17,Cepheid,Cepheid,1
1.3807.24,Cepheid,Cepheid,1
1.3813.7,Cepheid,Cepheid,1
1.3812.18,Cepheid,Cepheid,1
1.4048.28,Cepheid,Cepheid,1
1.4291.787,Eclipsing Binaries,Eclipsing Binaries,1
2.4668.52,Eclipsing Binaries,Eclipsing Binaries,1
2.5387.2235,Eclipsing Binaries,Eclipsing Binaries,1
2.5510.361,Eclipsing Binaries,Eclipsing Binaries,1
2.5390.793,Eclipsing Binaries,Cepheid,1
1.3807.48,Eclipsing Binaries,Eclipsing Binaries,1
1.4539.37,Eclipsing Binaries,Eclipsing Binaries,1
2.5268.16,Eclipsing Binaries,Eclipsing Binaries,1
1.3449.948,Eclipsing Binaries,Eclipsing Binaries,1
1.4173.538,Eclipsing Binaries,Eclipsing Binaries,1
1.3691.210,Eclipsing Binaries,Eclipsing Binaries,1
1.3325.93,Eclipsing Binaries,Eclipsing Binaries,1
1.4289.344,Eclipsing Binaries,Eclipsing Binaries,1
1.4174.104,Eclipsing Binaries,Eclipsing Binaries,1
1.4052.379,Eclipsing Binaries,Eclipsing Binaries,1
1.4295.481,Eclipsing Binaries,RR Lyrae,1
1.4055.98,Eclipsing Binaries,Eclipsing Binaries,1
1.4410.76,Eclipsing Binaries,Long Periodic Variable,1
1.4175.2266,Eclipsing Binaries,Eclipsing Binaries,1
1.4411.612,Eclipsing Binaries,Long Periodic Variable,1
2.4784.47,Eclipsing Binaries,Eclipsing Binaries,1
1.3567.1207,Eclipsing Binaries,Eclipsing Binaries,1
1.4288.975,Eclipsing Binaries,Eclipsing Binaries,1
1.3804.164,Eclipsing Binaries,Eclipsing Binaries,1
2.5027.166,Eclipsing Binaries,Eclipsing Binaries,1
1.4411.234,Eclipsing Binaries,Eclipsing Binaries,1
1.3442.233,Eclipsing Binaries,Eclipsing Binaries,1
1.4415.59,Eclipsing Binaries,None Variable,1
1.4056.186,Eclipsing Binaries,RR Lyrae,1
1.4538.81,Eclipsing Binaries,Eclipsing Binaries,1
1.4539.1630,Eclipsing Binaries,Cepheid,1
1.4051.445,Eclipsing Binaries,RR Lyrae,1
2.5025.61,Eclipsing Binaries,Long Periodic Variable,1
1.3811.175,Eclipsing Binaries,Eclipsing Binaries,1
2.5148.1068,Eclipsing Binaries,None Variable,1
1.4053.255,Eclipsing Binaries,Eclipsing Binaries,1
1.4410.1495,Eclipsing Binaries,Eclipsing Binaries,1
1.4294.672,Eclipsing Binaries,Eclipsing Binaries,1
1.3684.237,Eclipsing Binaries,Eclipsing Binaries,1
1.4410.495,Eclipsing Binaries,Eclipsing Binaries,1
1.4171.110,Eclipsing Binaries,Eclipsing Binaries,1
1.4291.174,Eclipsing Binaries,Eclipsing Binaries,1
1.4417.1830,Eclipsing Binaries,Eclipsing Binaries,1
1.3448.294,Eclipsing Binaries,Eclipsing Binaries,1
1.3934.683,Eclipsing Binaries,Eclipsing Binaries,1
2.4784.183,Eclipsing Binaries,Eclipsing Binaries,1
2.4663.143,Eclipsing Binaries,Eclipsing Binaries,1
1.4290.100,Eclipsing Binaries,Long Periodic Variable,1
1.4419.56,Eclipsing Binaries,Eclipsing Binaries,1
2.4790.136,Eclipsing Binaries,Eclipsing Binaries,1
1.4290.113,Eclipsing Binaries,Eclipsing Binaries,1
1.4048.1635,Eclipsing Binaries,Eclipsing Binaries,1
1.3687.193,Eclipsing Binaries,Eclipsing Binaries,1
1.4297.1231,Eclipsing Binaries,Eclipsing Binaries,1
2.4782.2328,Eclipsing Binaries,Eclipsing Binaries,1
1.3688.1073,Eclipsing Binaries,Eclipsing Binaries,1
1.3449.149,Eclipsing Binaries,Eclipsing Binaries,1
1.4412.571,Eclipsing Binaries,Eclipsing Binaries,1
1.3814.139,Eclipsing Binaries,Eclipsing Binaries,1
2.4666.399,Eclipsing Binaries,Eclipsing Binaries,1
1.4416.364,Eclipsing Binaries,Eclipsing Binaries,1
2.5265.5294,Eclipsing Binaries,Eclipsing Binaries,1
2.5393.355,Eclipsing Binaries,RR Lyrae,1
1.3444.1086,Eclipsing Binaries,Eclipsing Binaries,1
1.4413.25,Long Periodic Variable,Long Periodic Variable,1
2.5869.4229,Long Periodic Variable,Long Periodic Variable,1
2.5633.752,Long Periodic Variable,Long Periodic Variable,1
1.3563.29,Long Periodic Variable,Long Periodic Variable,1
2.4664.14,Long Periodic Variable,Long Periodic Variable,1
2.4786.25,Long Periodic Variable,Long Periodic Variable,1
2.5267.12,Long Periodic Variable,Long Periodic Variable,1
2.5146.40,Long Periodic Variable,Long Periodic Variable,1
2.5879.23,Long Periodic Variable,Long Periodic Variable,1
2.5025.15,Long Periodic Variable,None Variable,1
2.4666.22,Long Periodic Variable,Long Periodic Variable,1
2.5272.874,Long Periodic Variable,Long Periodic Variable,1
1.3564.32,Long Periodic Variable,Long Periodic Variable,1
2.5510.36,Long Periodic Variable,Long Periodic Variable,1
1.4291.52,Long Periodic Variable,Long Periodic Variable,1
2.5513.12,Long Periodic Variable,Long Periodic Variable,1
2.5151.13,Long Periodic Variable,Long Periodic Variable,1
2.5870.3889,Long Periodic Variable,Long Periodic Variable,1
2.5267.1363,Long Periodic Variable,Long Periodic Variable,1
2.5389.25,Long Periodic Variable,Long Periodic Variable,1
1.3683.51,Long Periodic Variable,Long Periodic Variable,1
1.3928.21,Long Periodic Variable,Long Periodic Variable,1
2.5390.15,Long Periodic Variable,Long Periodic Variable,1
1.4175.23,Long Periodic Variable,Long Periodic Variable,1
2.5389.26,Long Periodic Variable,Long Periodic Variable,1
2.5514.32,Long Periodic Variable,Long Periodic Variable,1
2.5153.16,Long Periodic Variable,Long Periodic Variable,1
2.5749.4362,Long Periodic Variable,MicroLensing,1
2.5751.13,Long Periodic Variable,Long Periodic Variable,1
2.5025.10,Long Periodic Variable,Long Periodic Variable,1
2.5749.4428,Long Periodic Variable,Long Periodic Variable,1
2.5394.13,Long Periodic Variable,Long Periodic Variable,1
2.5024.2253,Long Periodic Variable,Long Periodic Variable,1
2.4788.17,Long Periodic Variable,Long Periodic Variable,1
2.5390.46,Long Periodic Variable,Long Periodic Variable,1
1.4540.115,Long Periodic Variable,Cepheid,1
2.4910.14,Long Periodic Variable,Long Periodic Variable,1
2.5752.18,Long Periodic Variable,Long Periodic Variable,1
2.4789.22,Long Periodic Variable,Long Periodic Variable,1
2.5752.25,Long Periodic Variable,Long Periodic Variable,1
2.5265.5071,Long Periodic Variable,Long Periodic Variable,1
2.4781.4610,Long Periodic Variable,Long Periodic Variable,1
2.4789.25,Long Periodic Variable,Long Periodic Variable,1
2.4908.20,Long Periodic Variable,Long Periodic Variable,1
2.5630.44,Long Periodic Variable,MicroLensing,1
2.5028.14,Long Periodic Variable,Cepheid,1
2.5750.1935,Long Periodic Variable,Cepheid,1
2.5517.24,Long Periodic Variable,Long Periodic Variable,1
1.3445.28,Long Periodic Variable,Long Periodic Variable,1
2.5628.4424,Long Periodic Variable,Long Periodic Variable,1
2.5153.24,Long Periodic Variable,Long Periodic Variable,1
1.4292.25,Long Periodic Variable,Long Periodic Variable,1
2.5391.736,Long Periodic Variable,Long Periodic Variable,1
2.5024.2251,Long Periodic Variable,Long Periodic Variable,1
2.4911.52,Long Periodic Variable,Long Periodic Variable,1
2.5628.4410,Long Periodic Variable,Long Periodic Variable,1
2.5272.882,Long Periodic Variable,Long Periodic Variable,1
2.5632.25,Long Periodic Variable,Long Periodic Variable,1
1.4418.34,Long Periodic Variable,Long Periodic Variable,1
2.5627.4543,Long Periodic Variable,Long Periodic Variable,1
2.5269.1212,Long Periodic Variable,Long Periodic Variable,1
2.5877.9,Long Periodic Variable,Long Periodic Variable,1
2.4787.19,Long Periodic Variable,Long Periodic Variable,1
2.4790.20,Long Periodic Variable,Long Periodic Variable,1
1.3687.23,Long Periodic Variable,Long Periodic Variable,1
1.3931.59,Long Periodic Variable,Long Periodic Variable,1
2.5395.31,Long Periodic Variable,Long Periodic Variable,1
2.5395.24,Long Periodic Variable,Long Periodic Variable,1
2.4912.7,Long Periodic Variable,Long Periodic Variable,1
2.5629.2063,Long Periodic Variable,Long Periodic Variable,1
2.5509.26,Long Periodic Variable,Long Periodic Variable,1
2.5144.4535,Long Periodic Variable,Long Periodic Variable,1
2.5628.4396,Long Periodic Variable,Long Periodic Variable,1
1.4055.9,Long Periodic Variable,Long Periodic Variable,1
2.5029.34,Long Periodic Variable,Long Periodic Variable,1
2.5509.42,Long Periodic Variable,Long Periodic Variable,1
2.4781.4592,Long Periodic Variable,Long Periodic Variable,1
2.5516.12,Long Periodic Variable,Long Periodic Variable,1
2.5631.12,Long Periodic Variable,Long Periodic Variable,1
2.5392.7,Long Periodic Variable,Long Periodic Variable,1
2.5390.13,Long Periodic Variable,Long Periodic Variable,1
1.3691.28,Long Periodic Variable,Long Periodic Variable,1
2.4791.16,Long Periodic Variable,Long Periodic Variable,1
2.5517.16,Long Periodic Variable,Long Periodic Variable,1
2.5391.725,Long Periodic Variable,Long Periodic Variable,1
2.5028.2138,Long Periodic Variable,Long Periodic Variable,1
1.4418.20,Long Periodic Variable,Long Periodic Variable,1
2.5144.4494,Long Periodic Variable,Long Periodic Variable,1
2.4904.21,Long Periodic Variable,Long Periodic Variable,1
1.4532.39,Long Periodic Variable,Long Periodic Variable,1
2.4788.18,Long Periodic Variable,Long Periodic Variable,1
2.5267.1362,Long Periodic Variable,Long Periodic Variable,1
104.20259.572,MicroLensing,MicroLensing,1
101.20650.1216,MicroLensing,MicroLensing,1
118.18012.1863,MicroLensing,MicroLensing,1
101.21949.2465,MicroLensing,MicroLensing,1
109.20640.360,MicroLensing,MicroLensing,1
115.22564.2355,MicroLensing,MicroLensing,1
402.48156.2413,MicroLensing,MicroLensing,1
118.18662.3919,MicroLensing,MicroLensing,1
120.22043.4380,MicroLensing,MicroLensing,1
110.22840.2227,MicroLensing,MicroLensing,1
402.47863.110,MicroLensing,None Variable,1
163.27684.1669,MicroLensing,MicroLensing,1
113.18810.2999,MicroLensing,MicroLensing,1
149.27233.2244,MicroLensing,MicroLensing,1
113.18807.1433,MicroLensing,MicroLensing,1
310.38573.911,MicroLensing,MicroLensing,1
402.47856.561,MicroLensing,MicroLensing,1
402.48219.2582,MicroLensing,MicroLensing,1
403.47605.5112,MicroLensing,MicroLensing,1
114.20621.2010,MicroLensing,MicroLensing,1
119.19835.4282,MicroLensing,MicroLensing,1
101.21950.861,MicroLensing,MicroLensing,1
161.24695.1323,MicroLensing,MicroLensing,1
103.24286.768,MicroLensing,MicroLensing,1
121.22292.3358,MicroLensing,MicroLensing,1
104.21293.1164,MicroLensing,MicroLensing,1
176.19735.2709,MicroLensing,MicroLensing,1
401.47990.2762,MicroLensing,MicroLensing,1
109.19986.2444,MicroLensing,MicroLensing,1
118.18407.1167,MicroLensing,MicroLensing,1
101.21171.4799,MicroLensing,MicroLensing,1
113.18932.2003,MicroLensing,MicroLensing,1
310.37067.3803,MicroLensing,MicroLensing,1
161.24827.4269,MicroLensing,MicroLensing,1
311.37050.344,MicroLensing,MicroLensing,1
403.47793.1349,MicroLensing,MicroLensing,1
118.19311.1429,MicroLensing,MicroLensing,1
108.18686.3423,MicroLensing,MicroLensing,1
113.18156.1823,MicroLensing,MicroLensing,1
118.18271.738,MicroLensing,MicroLensing,1
113.18940.2606,MicroLensing,MicroLensing,1
402.47798.2435,MicroLensing,MicroLensing,1
304.36403.2137,MicroLensing,None Variable,1
108.19334.1583,MicroLensing,MicroLensing,1
119.20356.407,MicroLensing,MicroLensing,1
119.19441.2773,MicroLensing,MicroLensing,1
113.18812.4511,MicroLensing,None Variable,1
310.37233.3924,MicroLensing,MicroLensing,1
104.20251.50,MicroLensing,MicroLensing,1
167.23910.3170,MicroLensing,MicroLensing,1
18.3324.1765,MicroLensing,Be Stars,1
111.24784.884,MicroLensing,MicroLensing,1
118.18270.4540,MicroLensing,MicroLensing,1
110.23098.4042,MicroLensing,MicroLensing,1
108.19204.267,MicroLensing,MicroLensing,1
13.5961.1386,MicroLensing,MicroLensing,1
118.19184.1814,MicroLensing,MicroLensing,1
139.32203.2073,MicroLensing,MicroLensing,1
118.18278.3065,MicroLensing,MicroLensing,1
179.21577.1740,MicroLensing,MicroLensing,1
108.18685.3171,MicroLensing,MicroLensing,1
120.21523.2457,MicroLensing,MicroLensing,1
402.48158.1296,MicroLensing,MicroLensing,1
104.20906.3973,MicroLensing,MicroLensing,1
102.23246.5046,MicroLensing,MicroLensing,1
153.28787.720,MicroLensing,Long Periodic Variable,1
132.30916.803,MicroLensing,MicroLensing,1
113.19192.365,MicroLensing,MicroLensing,1
113.19064.1665,MicroLensing,MicroLensing,1
168.25985.4014,MicroLensing,MicroLensing,1
119.19707.2379,MicroLensing,MicroLensing,1
101.21174.1990,MicroLensing,MicroLensing,1
120.21912.3560,MicroLensing,None Variable,1
113.18804.1061,MicroLensing,MicroLensing,1
101.21428.2452,MicroLensing,MicroLensing,1
108.19599.1605,MicroLensing,MicroLensing,1
110.22707.1502,MicroLensing,MicroLensing,1
150.28409.2370,MicroLensing,MicroLensing,1
105.21164.9983,MicroLensing,MicroLensing,1
122.23855.1875,MicroLensing,MicroLensing,1
108.19082.3434,MicroLensing,MicroLensing,1
145.34015.1280,MicroLensing,Quasar,1
108.19602.415,MicroLensing,MicroLensing,1
124.22024.4124,MicroLensing,MicroLensing,1
104.20382.803,MicroLensing,MicroLensing,1
119.20092.3109,MicroLensing,MicroLensing,1
167.24173.2623,MicroLensing,MicroLensing,1
153.27488.3450,MicroLensing,MicroLensing,1
77.7307.4800,MicroLensing,None Variable,1
402.47796.1893,MicroLensing,MicroLensing,1
402.47797.1914,MicroLensing,MicroLensing,1
173.33142.1986,MicroLensing,MicroLensing,1
105.22327.3556,MicroLensing,MicroLensing,1
179.21578.2080,MicroLensing,MicroLensing,1
403.47546.2003,MicroLensing,MicroLensing,1
114.20494.3907,MicroLensing,MicroLensing,1
114.19712.1763,MicroLensing,MicroLensing,1
166.30682.3768,MicroLensing,MicroLensing,1
104.21421.131,MicroLensing,None Variable,1
120.21392.1243,MicroLensing,MicroLensing,1
178.24048.3166,MicroLensing,MicroLensing,1
161.24568.876,MicroLensing,MicroLensing,1
114.20104.617,MicroLensing,MicroLensing,1
109.20118.5042,MicroLensing,MicroLensing,1
403.47790.3199,MicroLensing,MicroLensing,1
307.35709.1490,MicroLensing,MicroLensing,1
111.23746.772,MicroLensing,MicroLensing,1
114.19846.777,MicroLensing,MicroLensing,1
144.32453.1528,MicroLensing,MicroLensing,1
118.19184.3770,MicroLensing,MicroLensing,1
118.18531.1816,MicroLensing,MicroLensing,1
402.47798.1259,MicroLensing,MicroLensing,1
115.22181.2973,MicroLensing,MicroLensing,1
119.19568.3510,MicroLensing,MicroLensing,1
121.22033.917,MicroLensing,MicroLensing,1
307.36378.482,MicroLensing,MicroLensing,1
154.29175.2554,MicroLensing,MicroLensing,1
152.26580.3637,MicroLensing,MicroLensing,1
109.20635.2121,MicroLensing,MicroLensing,1
158.27444.129,MicroLensing,MicroLensing,1
102.22598.2894,MicroLensing,MicroLensing,1
402.48103.1719,MicroLensing,MicroLensing,1
128.22057.2384,MicroLensing,MicroLensing,1
121.22425.177,MicroLensing,MicroLensing,1
113.18810.4409,MicroLensing,MicroLensing,1
118.18015.1406,MicroLensing,MicroLensing,1
115.22435.1045,MicroLensing,MicroLensing,1
176.19997.3338,MicroLensing,MicroLensing,1
101.20913.2158,MicroLensing,MicroLensing,1
402.47978.4996,MicroLensing,MicroLensing,1
118.18660.3016,MicroLensing,MicroLensing,1
105.21681.2244,MicroLensing,MicroLensing,1
401.47994.1182,MicroLensing,MicroLensing,1
310.37407.336,MicroLensing,MicroLensing,1
108.19464.5201,MicroLensing,MicroLensing,1
401.48049.670,MicroLensing,MicroLensing,1
120.21522.2448,MicroLensing,MicroLensing,1
402.47805.1858,MicroLensing,MicroLensing,1
311.37893.6302,MicroLensing,MicroLensing,1
168.25853.1778,MicroLensing,MicroLensing,1
301.46613.3271,MicroLensing,MicroLensing,1
178.23273.6023,MicroLensing,MicroLensing,1
178.23266.2918,MicroLensing,MicroLensing,1
119.20738.3418,MicroLensing,MicroLensing,1
160.27701.3570,MicroLensing,MicroLensing,1
1.3441.1107,None Variable,None Variable,1
1.3441.810,None Variable,None Variable,1
1.3320.357,None Variable,None Variable,1
1.3441.28,None Variable,None Variable,1
1.3441.1506,None Variable,None Variable,1
1.3320.92,None Variable,None Variable,1
1.3441.3794,None Variable,None Variable,1
1.3441.2870,None Variable,None Variable,1
1.3320.429,None Variable,None Variable,1
1.3441.2646,None Variable,None Variable,1
1.3441.3386,None Variable,None Variable,1
1.3441.2725,None Variable,None Variable,1
1.3441.1342,None Variable,None Variable,1
1.3441.2691,None Variable,None Variable,1
1.3441.906,None Variable,None Variable,1
1.3441.1263,None Variable,None Variable,1
1.3441.3462,None Variable,None Variable,1
1.3441.2256,None Variable,None Variable,1
1.3320.231,None Variable,None Variable,1
1.3441.1957,None Variable,None Variable,1
1.3441.1418,None Variable,None Variable,1
1.3441.788,None Variable,None Variable,1
1.3441.1304,None Variable,None Variable,1
1.3441.3394,None Variable,None Variable,1
1.3441.233,None Variable,None Variable,1
1.3441.169,None Variable,None Variable,1
1.3441.3256,None Variable,None Variable,1
1.3441.3577,None Variable,None Variable,1
1.3441.2020,None Variable,None Variable,1
1.3441.3796,None Variable,None Variable,1
1.3441.1844,None Variable,None Variable,1
1.3441.895,None Variable,None Variable,1
1.3441.1659,None Variable,None Variable,1
1.3441.3371,None Variable,None Variable,1
1.3441.1736,None Variable,None Variable,1
1.3441.2630,None Variable,None Variable,1
1.3441.680,None Variable,None Variable,1
1.3441.1483,None Variable,None Variable,1
1.3441.3096,None Variable,None Variable,1
1.3320.188,None Variable,None Variable,1
1.3441.1434,None Variable,None Variable,1
1.3441.3357,None Variable,None Variable,1
1.3320.79,None Variable,None Variable,1
1.3441.236,None Variable,None Variable,1
1.3441.163,None Variable,None Variable,1
1.3441.1141,None Variable,None Variable,1
1.3441.2399,None Variable,None Variable,1
1.3441.2301,None Variable,None Variable,1
1.3441.2052,None Variable,None Variable,1
1.3320.399,None Variable,None Variable,1
1.3441.2188,None Variable,None Variable,1
1.3441.1243,None Variable,None Variable,1
1.3441.954,None Variable,None Variable,1
1.3441.585,None Variable,None Variable,1
1.3441.139,None Variable,None Variable,1
1.3441.3117,None Variable,None Variable,1
1.3441.1212,None Variable,None Variable,1
1.3441.3687,None Variable,None Variable,1
1.3441.2682,None Variable,None Variable,1
1.3441.1584,None Variable,None Variable,1
1.3441.2030,None Variable,None Variable,1
1.3441.14,None Variable,None Variable,1
1.3441.1000,None Variable,None Variable,1
1.3441.2600,None Variable,None Variable,1
1.3441.2997,None Variable,None Variable,1
1.3441.3439,None Variable,None Variable,1
1.3441.3262,None Variable,None Variable,1
1.3441.194,None Variable,None Variable,1
1.3441.824,None Variable,None Variable,1
1.3441.2076,None Variable,None Variable,1
1.3441.40,None Variable,None Variable,1
1.3441.1705,None Variable,None Variable,1
1.3441.3675,None Variable,None Variable,1
1.3441.1509,None Variable,None Variable,1
1.3441.184,None Variable,None Variable,1
1.3320.392,None Variable,None Variable,1
1.3441.1856,None Variable,None Variable,1
1.3441.808,None Variable,None Variable,1
1.3441.265,None Variable,None Variable,1
1.3441.1357,None Variable,None Variable,1
1.3320.154,None Variable,None Variable,1
1.3441.2290,None Variable,None Variable,1
1.3441.464,None Variable,None Variable,1
1.3441.2590,None Variable,None Variable,1
1.3441.3377,None Variable,None Variable,1
1.3441.2226,None Variable,None Variable,1
1.3441.130,None Variable,None Variable,1
1.3320.126,None Variable,None Variable,1
1.3441.2696,None Variable,None Variable,1
1.3320.217,None Variable,None Variable,1
1.3441.2089,None Variable,None Variable,1
1.3441.250,None Variable,None Variable,1
1.3441.1317,None Variable,None Variable,1
1.3441.144,None Variable,None Variable,1
1.3441.3003,None Variable,None Variable,1
1.3441.91,None Variable,None Variable,1
1.3441.2388,None Variable,None Variable,1
1.3441.1332,None Variable,None Variable,1
1.3441.1923,None Variable,None Variable,1
1.3441.1632,None Variable,None Variable,1
1.3320.304,None Variable,None Variable,1
1.3441.1903,None Variable,None Variable,1
1.3441.408,None Variable,None Variable,1
1.3441.1565,None Variable,None Variable,1
1.3441.1400,None Variable,None Variable,1
1.3441.1050,None Variable,None Variable,1
1.3441.3044,None Variable,None Variable,1
1.3441.2999,None Variable,None Variable,1
1.3441.3078,None Variable,None Variable,1
1.3441.1324,None Variable,None Variable,1
1.3441.717,None Variable,None Variable,1
1.3441.2497,None Variable,None Variable,1
1.3441.776,None Variable,None Variable,1
1.3441.705,None Variable,None Variable,1
1.3441.1468,None Variable,None Variable,1
1.3441.2750,None Variable,None Variable,1
1.3441.2526,None Variable,None Variable,1
1.3441.2789,None Variable,None Variable,1
1.3441.302,None Variable,None Variable,1
1.3441.1442,None Variable,None Variable,1
1.3441.2730,None Variable,None Variable,1
1.3441.2743,None Variable,None Variable,1
1.3441.153,None Variable,None Variable,1
1.3320.152,None Variable,None Variable,1
1.3441.2711,None Variable,None Variable,1
1.3441.1309,None Variable,None Variable,1
1.3441.719,None Variable,None Variable,1
1.3441.1535,None Variable,None Variable,1
1.3441.3026,None Variable,None Variable,1
1.3441.2294,None Variable,None Variable,1
1.3441.3514,None Variable,None Variable,1
1.3441.2027,None Variable,None Variable,1
1.3441.2265,None Variable,None Variable,1
1.3441.1784,None Variable,None Variable,1
1.3441.2577,None Variable,None Variable,1
1.3441.1718,None Variable,None Variable,1
1.3441.3109,None Variable,None Variable,1
1.3441.2087,None Variable,None Variable,1
1.3441.79,None Variable,None Variable,1
1.3441.2529,None Variable,None Variable,1
1.3441.2413,None Variable,None Variable,1
1.3441.964,None Variable,None Variable,1
1.3320.274,None Variable,None Variable,1
1.3441.1275,None Variable,None Variable,1
1.3441.223,None Variable,None Variable,1
1.3441.2966,None Variable,None Variable,1
1.3320.364,None Variable,None Variable,1
1.3441.2186,None Variable,None Variable,1
1.3441.3156,None Variable,None Variable,1
1.3441.3072,None Variable,None Variable,1
1.3320.211,None Variable,None Variable,1
1.3441.248,None Variable,None Variable,1
1.3320.333,None Variable,None Variable,1
1.3441.1772,None Variable,None Variable,1
1.3441.2787,None Variable,None Variable,1
1.3441.3307,None Variable,None Variable,1
1.3441.2043,None Variable,None Variable,1
1.3320.321,None Variable,None Variable,1
1.3441.603,None Variable,None Variable,1
1.3441.314,None Variable,None Variable,1
1.3441.2436,None Variable,None Variable,1
1.3441.1814,None Variable,None Variable,1
1.3441.3023,None Variable,None Variable,1
1.3441.1271,None Variable,None Variable,1
1.3320.35,None Variable,None Variable,1
1.3441.3689,None Variable,None Variable,1
1.3441.2620,None Variable,None Variable,1
1.3320.302,None Variable,None Variable,1
1.3441.590,None Variable,None Variable,1
1.3441.1449,None Variable,None Variable,1
1.3441.634,None Variable,None Variable,1
1.3320.221,None Variable,None Variable,1
1.3441.659,None Variable,None Variable,1
1.3441.529,None Variable,None Variable,1
1.3441.3294,None Variable,None Variable,1
1.3441.2899,None Variable,None Variable,1
1.3441.3025,None Variable,None Variable,1
1.3441.3595,None Variable,None Variable,1
1.3441.2985,None Variable,None Variable,1
1.3441.880,None Variable,None Variable,1
1.3441.3461,None Variable,None Variable,1
1.3441.3215,None Variable,None Variable,1
1.3320.303,None Variable,None Variable,1
1.3441.272,None Variable,None Variable,1
1.3441.101,None Variable,Eclipsing Binaries,1
1.3441.2231,None Variable,None Variable,1
1.3441.3110,None Variable,None Variable,1
1.3441.2321,None Variable,None Variable,1
1.3320.140,None Variable,None Variable,1
1.3441.326,None Variable,None Variable,1
1.3320.115,None Variable,None Variable,1
1.3441.3198,None Variable,None Variable,1
1.3441.36,None Variable,None Variable,1
1.3441.2873,None Variable,None Variable,1
1.3441.2387,None Variable,None Variable,1
1.3441.1577,None Variable,None Variable,1
1.3441.2227,None Variable,None Variable,1
1.3441.1491,None Variable,None Variable,1
1.3441.2498,None Variable,None Variable,1
1.3441.1127,None Variable,None Variable,1
1.3441.1236,None Variable,None Variable,1
1.3441.2739,None Variable,None Variable,1
1.3441.2238,None Variable,None Variable,1
1.3441.1966,None Variable,None Variable,1
1.3441.2656,None Variable,None Variable,1
1.3441.1056,None Variable,None Variable,1
1.3441.3297,None Variable,None Variable,1
1.3441.260,None Variable,None Variable,1
1.3441.3000,None Variable,None Variable,1
1.3441.601,None Variable,None Variable,1
1.3441.492,None Variable,None Variable,1
1.3441.754,None Variable,None Variable,1
1.3320.64,None Variable,None Variable,1
1.3441.3651,None Variable,None Variable,1
1.3320.404,None Variable,None Variable,1
1.3320.191,None Variable,Eclipsing Binaries,1
1.3320.199,None Variable,None Variable,1
1.3320.395,None Variable,None Variable,1
1.3441.663,None Variable,None Variable,1
1.3441.1989,None Variable,None Variable,1
1.3441.1867,None Variable,None Variable,1
1.3441.1916,None Variable,None Variable,1
1.3441.1877,None Variable,None Variable,1
1.3441.219,None Variable,None Variable,1
1.3441.3645,None Variable,None Variable,1
1.3441.2758,None Variable,None Variable,1
1.3441.3289,None Variable,None Variable,1
1.3441.1698,None Variable,None Variable,1
1.3441.3041,None Variable,None Variable,1
1.3441.1421,None Variable,None Variable,1
1.3441.549,None Variable,None Variable,1
1.3441.3594,None Variable,None Variable,1
1.3320.315,None Variable,None Variable,1
1.3441.2150,None Variable,None Variable,1
1.3441.783,None Variable,None Variable,1
1.3441.364,None Variable,None Variable,1
